"","AD","model","community","offset.plot","Calibration","comm.idx"
"76...1",0.00272048526856561,"raw1","76",-0.05,"None",21
"41...2",1.33287144680417,"raw1","41",-0.05,"None",9
"86...3",10.0325526331946,"raw1","86",-0.05,"None",24
"17...4",0.819293098958239,"raw1","17",-0.05,"None",3
"40...5",1.23931569169295,"raw1","40",-0.05,"None",8
"11...6",0.646899983801915,"raw1","11",-0.05,"None",2
"47...7",1.75934973358239,"raw1","47",-0.05,"None",12
"55...8",2.63999640226673,"raw1","55",-0.05,"None",13
"65...9",4.04841633970367,"raw1","65",-0.05,"None",18
"2...10",0.743498332537017,"raw1","2",-0.05,"None",4
"45...11",0.0526331103520292,"raw1","45",-0.05,"None",10
"39...12",0.465174879313077,"raw1","39",-0.05,"None",7
"89...13",7.4855086737521,"raw1","89",-0.05,"None",25
"30...14",7.70505542492749,"raw1","30",-0.05,"None",5
"58...15",0.320327588264184,"raw1","58",-0.05,"None",15
"92...16",1.41844595308325,"raw1","92",-0.05,"None",28
"10...17",3.15360356031763,"raw1","10",-0.05,"None",1
"64...18",1.16961528469854,"raw1","64",-0.05,"None",17
"93...19",7.97098248893827,"raw1","93",-0.05,"None",29
"97...20",6.87344507840257,"raw1","97",-0.05,"None",31
"46...21",1.55299369264837,"raw1","46",-0.05,"None",11
"96...22",4.72730923516038,"raw1","96",-0.05,"None",30
"56...23",8.63195438290687,"raw1","56",-0.05,"None",14
"79...24",8.71713435626567,"raw1","79",-0.05,"None",22
"71...25",10.5145636143278,"raw1","71",-0.05,"None",20
"91...26",7.25267980725956,"raw1","91",-0.05,"None",27
"9...27",9.99397863235228,"raw1","9",-0.05,"None",26
"38...28",9.88819543822891,"raw1","38",-0.05,"None",6
"70...29",10.0795195950319,"raw1","70",-0.05,"None",19
"62...30",8.01261638318477,"raw1","62",-0.05,"None",16
"80...31",8.53988285921378,"raw1","80",-0.05,"None",23
"76...32",0.684513937158369,"mock1","76",0,"Mock",21
"41...33",1.95183354990639,"mock1","41",0,"Mock",9
"86...34",10.7799796254409,"mock1","86",0,"Mock",24
"17...35",1.45321661206456,"mock1","17",0,"Mock",3
"40...36",1.8654989567768,"mock1","40",0,"Mock",8
"11...37",1.30282002495543,"mock1","11",0,"Mock",2
"47...38",2.39823652066461,"mock1","47",0,"Mock",12
"55...39",1.84035016389736,"mock1","55",0,"Mock",13
"65...40",3.25936043423771,"mock1","65",0,"Mock",18
"2...41",0.0225819039617392,"mock1","2",0,"Mock",4
"45...42",0.740743423990736,"mock1","45",0,"Mock",10
"39...43",1.12975458499881,"mock1","39",0,"Mock",7
"89...44",6.66188977200478,"mock1","89",0,"Mock",25
"30...45",6.886384351354,"mock1","30",0,"Mock",5
"58...46",0.98812693775829,"mock1","58",0,"Mock",15
"92...47",0.640159994938927,"mock1","92",0,"Mock",28
"10...48",2.35887558895085,"mock1","10",0,"Mock",1
"64...49",0.468651215124656,"mock1","64",0,"Mock",17
"93...50",7.1253785810099,"mock1","93",0,"Mock",29
"97...51",6.09167596022175,"mock1","97",0,"Mock",31
"46...52",2.23839639785134,"mock1","46",0,"Mock",11
"96...53",3.91846679454255,"mock1","96",0,"Mock",30
"56...54",9.29851887169955,"mock1","56",0,"Mock",14
"79...55",9.47384513738722,"mock1","79",0,"Mock",22
"71...56",11.1634420559703,"mock1","71",0,"Mock",20
"91...57",7.98246316133611,"mock1","91",0,"Mock",27
"9...58",10.6662112496324,"mock1","9",0,"Mock",26
"38...59",10.504859633606,"mock1","38",0,"Mock",6
"70...60",10.7754608335473,"mock1","70",0,"Mock",19
"62...61",8.67005550991754,"mock1","62",0,"Mock",16
"80...62",9.19623268845482,"mock1","80",0,"Mock",23
