"Sample1","Sample2","value","Distance.type"
"18_e02404","18_e02398",0.823386445029021,"Same Tank"
"18_e02398","18_e02404",0.823386445029021,"Same Tank"
"18_e02405","18_e02404",0.992720225613569,"Same Tank"
"18_e02404","18_e02405",0.992720225613569,"Same Tank"
"38_e02431","38_e02430",0.374283707728293,"Same Tank"
"38_e02430","38_e02431",0.374283707728293,"Same Tank"
"40_e02122","40_e02112",0.437789628740108,"Same Tank"
"40_e02124","40_e02112",0.409342961019126,"Same Tank"
"40_e02112","40_e02122",0.437789628740108,"Same Tank"
"40_e02112","40_e02124",0.409342961019126,"Same Tank"
"51_e02428","51_e02427",0.999515978047076,"Same Tank"
"51_e02427","51_e02428",0.999515978047076,"Same Tank"
"59_e02177","59_e02165",0.886349143337222,"Same Tank"
"59_e02165","59_e02177",0.886349143337222,"Same Tank"
"T_e02395","T_e02137",0.999977343266763,"Same Tank"
"T_e02421","T_e02137",0.999965313178454,"Same Tank"
"T_e02137","T_e02395",0.999977343266763,"Same Tank"
"T_e02421","T_e02395",0.999942873181419,"Same Tank"
"T_e02137","T_e02421",0.999965313178454,"Same Tank"
"T_e02395","T_e02421",0.999942873181419,"Same Tank"
